parameter,value,unit,industry,source,url,year,notes
Annual Steel Production,500000,tonnes/year,Steel,World Steel Association,https://worldsteel.org/statistics,2023,Mid-size integrated plant benchmark
Steel Heat Demand per Tonne,1.2,GJ/tonne,Steel,IEA Iron & Steel Report,https://iea.org/reports/iron-and-steel,2023,Reheating furnace. Modern plant.
Steel Operating Hours,7000,hours/year,Steel,Industry average,,2024,~80% utilisation rate for EAF/BOF plants
Gas Burner Efficiency (Steel),0.60,ratio,Steel,IEA / Eurofer,,2023,40% energy lost as hot exhaust gases
HyperHeat Efficiency (Steel),0.95,ratio,Steel,HyperHeat product specification,,2025,Resistance heating near-lossless
Annual Cement Output,1000000,tonnes/year,Cement,Cembureau / HeidelbergMaterials,https://cembureau.eu,2024,Typical large EU plant 1-2 Mt/year
Clinker-to-Cement Ratio,0.75,ratio,Cement,Cembureau 2024,https://cembureau.eu,2024,EU average. Target 0.65 by 2030.
Cement Heat Demand per Tonne Clinker,3.5,GJ/tonne clinker,Cement,IEA Cement Report,https://iea.org/reports/cement,2023,Modern dry kiln with preheater + precalciner
Cement Operating Hours,8000,hours/year,Cement,Cembureau,,2024,Kilns run near-continuously — 91% uptime
Gas Kiln Efficiency (Cement),0.55,ratio,Cement,IEA / Cembureau,,2023,45% lost in exhaust gases + kiln shell. Slightly lower than steel.
HyperHeat Efficiency (Cement),0.90,ratio,Cement,HyperHeat product specification,,2025,Conservative vs steel (95%) — larger kiln harder to seal
Natural Gas Price Industrial,0.045,EUR/kWh,Both,Eurostat + Dutch TTF H1 2025,https://ec.europa.eu/eurostat,2025,TTF wholesale ~35 EUR/MWh + retail markup for industrial users
Industrial Electricity Price,0.12,EUR/kWh,Both,Eurostat Electricity Price Statistics H1 2025,https://ec.europa.eu/eurostat/electricity-prices,2025,EU avg non-household 0.19 EUR/kWh. Large plants (>20 GWh/year) ~0.12
Electricity Price — PPA Best Case,0.07,EUR/kWh,Both,BNEF PPA Tracker 2025,https://about.bnef.com,2025,Long-term Power Purchase Agreement directly with wind/solar farm. EU deals range 0.06-0.08
EU ETS Carbon Price 2025,70,EUR/tonne CO2,Both,ICE EU ETS market 2025,https://tradingeconomics.com/commodity/carbon,2025,2025 range EUR60-83. Dec 2025 peak: EUR83.79
EU ETS Carbon Price 2030 Forecast,126,EUR/tonne CO2,Both,GMK Center / BNEF / S&P Global,https://gmk.center,2025,Consensus median of BloombergNEF + ABN Amro + S&P Global + Aurora. Range EUR80-149
Natural Gas CO2 Intensity,0.202,kg CO2/kWh,Both,IPCC AR6 / GHG Protocol,https://ghgprotocol.org,2023,Default combustion factor for natural gas. Fixed chemistry.
Grid Electricity CO2 Intensity,0.095,kg CO2/kWh,Both,European Environment Agency 2025,https://eea.europa.eu,2025,EU grid mix. Solar grew +20% in 2025. 52% renewables share.
HyperHeat CAPEX,500,EUR/kW installed,Both,Deep-tech electrification benchmark,,2025,Range EUR300-700/kW depending on project scale and complexity
Annual O&M Rate,0.02,ratio (% of CAPEX),Both,Industry standard,,2024,2% of CAPEX per year — standard for industrial heating equipment
Decommissioning Cost (Gas Burners),200000,EUR one-time,Steel,Estimate,,2025,Plant-specific — verify with operator. Steel plant benchmark.
WACC / Discount Rate,0.08,ratio,Both,Industrial project benchmark,,2025,Typical for EU industrial energy investment
Project Lifetime,15,years,Both,HyperHeat design life,,2025,Conservative — equipment often lasts 20+ years
Annual Energy Price Escalation,0.02,ratio,Both,IEA long-term energy outlook,,2025,Conservative 2%/year. Gas may rise faster given geopolitics.
Cement Total CO2 per Tonne,0.65,tonnes CO2/tonne cement,Cement,S&P Global / IEA 2024,https://spglobal.com/sustainable1,2024,Industry average. Range 0.5-0.8 depending on fuel mix and clinker ratio.
Cement Calcination CO2 per Tonne,0.53,tonnes CO2/tonne cement,Cement,IPCC AR6 / GHG Protocol,https://ghgprotocol.org/cement,2023,Fixed chemistry: CaCO3 -> CaO + CO2. UNAVOIDABLE without CCS.
Cement Fuel CO2 per Tonne,0.12,tonnes CO2/tonne cement,Cement,Derived (Total minus Calcination),,2024,"0.65 - 0.53 = 0.12. This is what electrification eliminates."
Green Steel Premium,75,EUR/tonne steel,Steel,Bloomberg / Volvo / BMW contracts,https://bloomberg.com,2024,Buyers paying EUR50-100 premium for low-carbon steel. Volvo + BMW active.
Green Cement Premium,60,EUR/tonne cement,Cement,HeidelbergMaterials / Holcim contracts,,2024,Buyers paying EUR40-80 premium. HeidelbergMaterials green cement already selling.
